title,link,date,name,parent,companyAbout
Harris Acquires Cognera Corporation,https://www.harriscomputer.com/news/en/ma-resourcescognera,,Cognera Corporation,Harris,
Harris Acquires Certain Assets of Lender Processing Services LLC.,https://www.harriscomputer.com/news/en/ma-resourceslenderps,,The Local Government Solutions,Harris,
Harris Acquires Computer Software Innovations,https://www.harriscomputer.com/news/en/ma-resourcescswi,,,Harris,
Harris Acquires Picis,https://www.harriscomputer.com/news/en/ma-resourcespicis,,Picis clinical applications,Harris,
Harris Computer acquires SIV,https://www.harriscomputer.com/news/en/ma-resourcessiv,,SIV.AG,Harris,
"Harris’ US Healthcare group acquires digiChart, Inc.",https://www.harriscomputer.com/news/en/ma-resourcesdigichart,,digiChart Inc,Harris,
"Harris’ Healthcare Group acquires CoCENTRIX, Inc.",https://www.harriscomputer.com/news/en/ma-resourcescocentrix,,CoCENTRIX,Harris,
Harris acquires the assets of OrMed Information Systems,https://www.harriscomputer.com/news/en/ma-resourcesormed,,OrMed Information Systems,Harris,
Harris Computer Corporation acquires iMDsoft,https://www.harriscomputer.com/news/en/ma-resourcesimdsoft,,iMDsoft,Harris,
"Harris’ US Healthcare group acquires GEMMS, Inc.",https://www.harriscomputer.com/news/en/ma-resourcesgemms,,Gateway Electronic Medical Management Systems,Harris,
MediSolution Acquires Softinfo,https://www.harriscomputer.com/news/en/ma-resourcessoftinfo,,Softinfo,MediSolution Ltd,
Harris’ US Healthcare group acquires MEDfx,https://www.harriscomputer.com/news/en/ma-resourcesmedfx,,MEDfx Corporation,Harris,
MediSolution Aquires Diamedx Inc. (SIMMS),https://www.harriscomputer.com/news/en/ma-resourcesdiamedx,,Diamedx,MediSolution Ltd,
"Harris’ US Healthcare group acquires MorCare, LLC.",https://www.harriscomputer.com/news/en/ma-resourcesmorcare,,"MorCare, LLC",Harris,
"Harris Healthcare group acquires Clinix Medical Information Systems, LLC",https://www.harriscomputer.com/news/en/ma-resourcesclinixmedical,,"Clinix Medical Information Systems, LLC",Harris,
"Harris, filiale de Constellation Software, fait l’acquisition d’Acceo Solutions",https://www.harriscomputer.com/news/en/ma-resourcesacceofr,,,Constellation Software,
Constellation Software’s Harris Operating Group Acquires Acceo Solutions,https://www.harriscomputer.com/news/en/ma-resourcesacceo,,Acceo,Constellation Software,
Harris Healthcare group acquires Decision Support Systems from Vizient,https://www.harriscomputer.com/news/en/ma-resourcesdecisionss,,"Vizient, Inc",Harris,
"Harris Healthcare group acquires Integrated Medical Delivery, LLC",https://www.harriscomputer.com/news/en/ma-resourcesintegratedmd,,,Harris,
